axis,gain,w,k,cover
game_month==10,-0.1187174755129945,0.3,10000.0,1.0
cur_os 하위25%,-0.12370346208638239,0.3,10000.0,0.9984576362782882
asof_batter_middle_rate 상위25%,-0.1361868789840628,0.3,10000.0,0.9996528695460086
outs_before==2,-0.14699756649554274,0.3,10000.0,1.0
asof_pitcher_middle_rate 상위50%,-0.14984373272284301,0.3,10000.0,0.9996804821957579
cur_bb 상위25%,-0.15311306322610108,0.3,10000.0,0.9984576362782882
asof_pitcher_ball_rate 상위25%,-0.16033973905086896,0.3,10000.0,0.9996804821957579
game_month==8,-0.16662286391988346,0.3,10000.0,1.0
game_month==9,-0.17155812607779808,0.3,10000.0,1.0
tmh_n 하위25%,-0.20060620925585226,0.3,10000.0,0.7891221938644692
run_total_before 상위25%,-0.20662032377776995,0.3,10000.0,1.0
asof_pitcher_prev5_game_middle_rate 상위50%,-0.21095708229586307,0.3,10000.0,0.9856493114588551
game_dayofweek==2,-0.223726135736797,0.3,10000.0,1.0
game_month==6,-0.22648122241719193,0.3,10000.0,1.0
cur_mid 하위25%,-0.22682429071574006,0.3,10000.0,0.9984576362782882
score_diff_home 상위25%,-0.22807272796308098,0.3,10000.0,1.0
asof_batter_middle_rate 하위25%,-0.23067536807911893,0.3,10000.0,0.9996528695460086
asof_batter_middle_rate 상위50%,-0.24623934511771495,0.3,10000.0,0.9996528695460086
away_win_expectancy 하위25%,-0.24729951746905954,0.3,10000.0,1.0
home_win_expectancy 상위25%,-0.24729951746905954,0.3,10000.0,1.0
run_bot_before 상위25%,-0.247946931150409,0.3,10000.0,1.0
base_state==1__,-0.24939373350343885,0.3,10000.0,1.0
strikes_before==1,-0.25038306694159473,0.3,10000.0,1.0
dx_mid_sh 상위25%,-0.2748352517884314,0.3,10000.0,0.9984576362782882
game_dayofweek==3,-0.31365745054415584,0.3,10000.0,1.0
