experiment_id,variant,model,n_features,hyperparameters,feature_spec,seeds,n_runs,fold_2021,fold_2022,fold_2023,fold_2024,mean,delta_mean,delta_se,delta_by_fold,sign_consistent,pos_frac,pred_mean,pred_std
exp012,no_batter_n,cat,54,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod"", ""drop"": [""asof_batter_n""]}","42,43",6,1289.15,2343.54,,739.14,1457.28,,,,,,0.5172,0.0543
exp012,oh_base,cat,62,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""add"": [""oh_base_state_0"", ""oh_base_state_1"", ""oh_base_state_2"", ""oh_base_state_3"", ""oh_base_state_4"", ""oh_base_state_5"", ""oh_base_state_6"", ""oh_base_state_7""], ""base"": ""prod"", ""drop"": [""base_state""]}","42,43",6,1285.96,2347.67,,739.32,1457.65,,,,,,0.5170,0.0543
exp012,oh_team,cat,79,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""add"": [""oh_pitcher_team_id_12"", ""oh_pitcher_team_id_13"", ""oh_pitcher_team_id_14"", ""oh_pitcher_team_id_15"", ""oh_pitcher_team_id_16"", ""oh_pitcher_team_id_17"", ""oh_pitcher_team_id_18"", ""oh_pitcher_team_id_19"", ""oh_pitcher_team_id_20"", ""oh_pitcher_team_id_21"", ""oh_pitcher_team_id_22"", ""oh_pitcher_team_id_23"", ""oh_pitcher_team_id_25"", ""oh_batter_team_id_12"", ""oh_batter_team_id_13"", ""oh_batter_team_id_14"", ""oh_batter_team_id_15"", ""oh_batter_team_id_16"", ""oh_batter_team_id_17"", ""oh_batter_team_id_18"", ""oh_batter_team_id_19"", ""oh_batter_team_id_20"", ""oh_batter_team_id_21"", ""oh_batter_team_id_22"", ""oh_batter_team_id_23"", ""oh_batter_team_id_25""], ""base"": ""prod"", ""drop"": [""pitcher_team_id"", ""batter_team_id""]}","42,43",6,1256.51,2369.50,,762.85,1462.95,,,,,,0.5175,0.0547
exp012,oh_team_keep,cat,81,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""add"": [""oh_pitcher_team_id_12"", ""oh_pitcher_team_id_13"", ""oh_pitcher_team_id_14"", ""oh_pitcher_team_id_15"", ""oh_pitcher_team_id_16"", ""oh_pitcher_team_id_17"", ""oh_pitcher_team_id_18"", ""oh_pitcher_team_id_19"", ""oh_pitcher_team_id_20"", ""oh_pitcher_team_id_21"", ""oh_pitcher_team_id_22"", ""oh_pitcher_team_id_23"", ""oh_pitcher_team_id_25"", ""oh_batter_team_id_12"", ""oh_batter_team_id_13"", ""oh_batter_team_id_14"", ""oh_batter_team_id_15"", ""oh_batter_team_id_16"", ""oh_batter_team_id_17"", ""oh_batter_team_id_18"", ""oh_batter_team_id_19"", ""oh_batter_team_id_20"", ""oh_batter_team_id_21"", ""oh_batter_team_id_22"", ""oh_batter_team_id_23"", ""oh_batter_team_id_25""], ""base"": ""prod""}","42,43",6,1264.86,2357.59,,757.22,1459.89,,,,,,0.5177,0.0547
exp013,cat_tuned,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
exp013,depthwise,cat,55,"{""depth"": 6, ""grow_policy"": ""Depthwise"", ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1142.59,2310.00,,702.91,1385.17,,,,,,0.5178,0.0567
exp013,lossguide_l10,cat,55,"{""depth"": 6, ""grow_policy"": ""Lossguide"", ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""max_leaves"": 10, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1311.48,2317.11,,710.22,1446.27,,,,,,0.5174,0.0553
exp013,lossguide_l31,cat,55,"{""depth"": 6, ""grow_policy"": ""Lossguide"", ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""max_leaves"": 31, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1156.59,2313.14,,707.76,1392.49,,,,,,0.5175,0.0565
exp013,rsm_08,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""rsm"": 0.8, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1297.64,2350.96,,734.98,1461.20,,,,,,0.5170,0.0543
exp013,sub_08,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""subsample"": 0.8, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1305.45,2352.53,,744.58,1467.52,,,,,,0.5170,0.0544
exp014,cat_tuned,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
exp014,lr01_i2400,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.01, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 2400, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1301.07,2359.48,,743.66,1468.07,,,,,,0.5170,0.0543
exp014,lr04_i600,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.04, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 600, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1268.85,2339.34,,735.22,1447.80,,,,,,0.5171,0.0549
exp015,cat_tuned,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43,44,45,46,47",18,1297.01,2357.54,,736.94,1463.83,,,,,,0.5171,0.0544
exp016,cat_tuned,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
exp016,lr005_i4800,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.005, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 4800, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1309.56,2358.67,,745.08,1471.11,,,,,,0.5170,0.0542
thrchk,cat,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1200}","{""base"": ""prod""}",42,1,,,,712.29,712.29,,,,,,0.4968,0.0436
val000,base,hgb,47,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1400}","{""base"": ""raw47""}",42,1,,,,632.14,632.14,,,,,,0.4986,0.0429
val000,dev,hgb,55,"{""l2"": 1.0, ""leaves"": 10, ""lr"": 0.02, ""min_leaf"": 1000, ""n_iter"": 1400}","{""base"": ""prod""}",42,1,,,,663.67,663.67,+31.54,,2024:+31.5,yes,1/1,0.4979,0.0437
